Word,Present Participle,Present Participle Alternative
travel,travelling,traveling
benefit,benefiting,benefitting
focus,focusing,focussing
cancel,cancelling,canceling
combat,combatting,combating
signal,signalling,signaling
level,leveling,levelling
target,targeting,targetting
label,labelling,labeling
total,totalling,totaling
age,ageing,aging
worship,worshipping,worshiping
model,modelling,modeling
rival,rivalling,rivaling
counsel,counselling,counseling
channel,channeling,channelling
dial,dialing,dialling
gossip,gossiping,gossipping
unravel,unraveling,unravelling
queue,queueing,queuing
equal,equalling,equaling
quarrel,quarrelling,quarreling
glue,gluing,glueing
fuel,fueling,fuelling
kidnap,kidnapping,kidnaping
marvel,marvelling,marveling
pedal,pedalling,pedaling
revel,revelling,reveling
swivel,swiveling,swivelling
bus,bussing,busing
plummet,plummeting,plummetting
parallel,paralleling,parallelling
rue,ruing,rueing
refuel,refueling,refuelling
marshal,marshalling,marshaling
boogie,boogying,boogieing
spiral,spiraling,spiralling
arc,arcing,arcking arking
bias,biasing,biassing
shrivel,shrivelling,shriveling
binge,binging,bingeing
pencil,pencilling,penciling
true,trueing,truing
chisel,chiseling,chiselling
grovel,grovelling,groveling
fidget,fidgeting,fidgetting
imperil,imperilling,imperiling
lunge,lunging,lungeing
whinge,whingeing,whinging
tunnel,tunnelling,tunneling
remodel,remodeling,remodelling
weasel,weaseling,weaselling
dye,dyeing,dying
decontrol,decontrolling,decontroling
funnel,funnelling,funneling
bedevil,bedeviling,bedevilling
cadge,cadging,cadgin
cosset,cosseting,cossetting
shovel,shoveling,shovelling
pummel,pummelling,pummeling
devil,deviling,devilling
blue,blueing,bluing
initial,initialing,initialling
turnip,turniping,turnipping
cavil,cavilling,caviling
parcel,parceling,parcelling
awe,awing,aweing
trial,trialling,trialing
rivet,riveting,rivetting
tinsel,tinselling,tinseling
reprogram,reprogramming,reprograming
billet,billeting,billetting
hiccup,hiccuping,hiccupping
miscue,miscuing,miscueing
carol,carolling,caroling
court-martial,court-martialing,court-martialling
stencil,stencilling,stenciling
lol,loling,lolling
taxi,taxiing,taxying
ricochet,ricocheting,ricochetting
drivel,driveling,drivelling
chorus,chorusing,chorussing
hie,hying,hieing
twinge,twingeing,twinging
gruel,gruelling,grueling
bevel,bevelling,beveling
cudgel,cudgeling,cudgelling
snorkel,snorkelling,snorkeling
buffet,buffeting,buffetting
bivouac,bivouacing,bivouacking
reroute,rerouting,rerouteing
towel,toweling,towelling
hinge,hinging,hingeing
reoccur,reoccuring,reoccurring
ravel,ravelling,raveling
banquet,banqueting,banquetting
corbel,corbelling,corbeling
telecine,telecining,telecineing
harlot,harloting,harlotting
gambol,gambolling,gamboling
tinge,tinging,tingeing
fash,fashing,fashin
relabel,relabelling,relabeling
photostat,photostatting,photostating
rechannel,rechanneling,rechannelling
clue,cluing,clueing
junket,junketing,junketting
teasel,teaselling,teaseling
trammel,trammelling,trammeling
yodel,yodelling,yodeling
libel,libelling,libeling
hansel,hanselling,hanseling
duel,dueling,duelling
hovel,hovelling,hoveling
diagram,diagraming,diagramming
tarmac,tarmacking,tarmacing
jodel,jodelling,jodeling
trepan,trepanning,trepaning
brevet,breveting,brevetting
preprogram,preprogramming,preprograming
gavel,gaveling,gavelling
refocus,refocusing,refocussing
radiolabel,radiolabeling,radiolabelling
sentinel,sentineling,sentinelling
entrammel,entrammeling,entrammelling
snippet,snippeting,snippetting
retarget,retargeting,retargetting
frivol,frivolling,frivoling
barrel,barrelling,barreling
rappel,rappelling,rappeling
pommel,pommelling,pommeling
snivel,snivelling,sniveling
hye,hying,hyeing
hatchet,hatcheting,hatchetting
jumar,jumaring,jumarring
coyote,coyoteing,coyoting
retravel,retraveling,retravelling
autocancel,autocancelling,autocanceling
bushel,busheling,bushelling
revictual,revictualing,revictualling
drunk dial,drunk dialing,drunk dialling
dognap,dognapping,dognaping
disfellowship,disfellowshipping,disfellowshiping
rogue,roguing,rogueing
vitriol,vitrioling,vitriolling
cocounsel,cocounseling,cocounselling
runnel,runnelling,runneling
thermal,thermaling,thermalling
sortie,sortying,sortieing
whammel,whammelling,whammeling
unrar,unraring,unrarring
dial into,dialing into,dialling into
torque,torquing,torqueing
to and fro,toing and froing,to and froing
exam,examming,examing
unbowel,unbowelling,unboweling
hickup,hickuping,hickupping
jigget,jiggetting,jiggeting
cherup,cheruping,cherupping
gimbal,gimballing,gimbaling
enamel,enameling,enamelling
hyperfocus,hyperfocusing,hyperfocussing
gibbet,gibbeting,gibbetting
enkennel,enkennelling,enkenneling
admin,admining,adminning
facsimile,facsimileing,facsimiling
soliloquy,soliloquying,soliloquing
bepommel,bepommeling,bepommelling
surplus,surplussing,surplusing
assoilzie,assoilzieing,assoilzying
unbias,unbiasing,unbiassing
bemoisten,bemoistening,bemoist'ning
prefocus,prefocusing,prefocussing
zinc,zincing,zinking zincking
newmodel,newmodelling,newmodeling
rock and roll,rocking and rolling,rock and rolling
bejewel,bejewelling,bejeweling
envassal,envassaling,envassalling
missignal,missignaling,missignalling
disbowel,disboweling,disbowelling
scandal,scandalling,scandaling
weasel out,weaseling out,weaselling out
cancel out,cancelling out,canceling out
backpedal,backpedaling,backpedalling
spancel,spancelling,spanceling
predye,predyeing,predying
overdye,overdyeing,overdying
russet,russeting,russetting
misdial,misdialling,misdialing
stot,stotting,stottin
medical out,medicalling out,medicaling out
reapparel,reappareling,reapparelling
scram,scraming,scramming
springe,springing,springeing
jump rope,jumping rope,jump roping
outduel,outdueling,outduelling
hallal,hallaling,hallalling
out-chorus,out-chorusing,out-chorussing
twoc,twoccing,twocking
flannel,flanneling,flannelling
pencil out,pencilling out,penciling out
resignal,resignaling,resignalling
fondue,fondueing,fonduing
kennel,kenneling,kennelling
tittup,tittupping,tittuping
bowel,bowelling,boweling
summit,summiting,summitting
demosaic,demosaicking,demosaicing
refunnel,refunnelling,refunneling
hondel,hondelling,hondeling
gerbil,gerbilling,gerbiling
plodge,plodging,plodgin
unlevel,unleveling,unlevelling
braai,braaing,braaiing
hocus,hocusing,hocussing
RV,RVing,RV'ing RV-ing
bishop,bishoping,bishopping
char,charing,charring
postil,postiling,postilling
bishop,bishoping,bishopping
nickel,nickeling,nickelling
precancel,precanceling,precancelling
macadam,macadaming,macadamming
caucus,caucusing,caucussing
jol,jolling,joling
luge,luging,lugeing
overpedal,overpedalling,overpedaling
secret,secretting,secreting
uncoif,uncoifing,uncoiffing
spaniel,spanielling,spanieling
speed-dial,speed-dialing,speed-dialling
mischannel,mischanneling,mischannelling
level up,leveling up,levelling up
self-focus,self-focusing,self-focussing
fuel up,fueling up,fuelling up
boogie down,boogying down,boogieing down
carrol,carrolling,carroling
maximin,maximinning,maximining
court martial,court martialing,court martialling
aliquot,aliquoting,aliquotting
vowel,vowelling,voweling
blue-pencil,blue-pencilling,blue-penciling
controul,controulling,controuling
ID,IDing,ID'ing
general,generalling,generaling
empannel,empannelling,empanneling
gambrel,gambrelling,gambreling
becudgel,becudgeling,becudgelling
preage,preageing,preaging
dezinc,dezincing,dezincking
embowel,emboweling,embowelling
halal,halaling,halalling
medal,medaling,medalling
housel,houseling,houselling
rowel,roweling,rowelling
tie-dye,tie-dyeing,tie-dying
plus,plusing,plussing
unglue,ungluing,unglueing
protocol,protocoling,protocolling
journal,journaling,journalling
impanel,impanelling,impaneling
vessel,vesselling,vesseling
mislabel,mislabelling,mislabeling
misprogram,misprogramming,misprograming
impannel,impannelling,impanneling
corset,corseting,corsetting
pretzel,pretzelling,pretzeling
carburet,carbureting,carburetting
envowel,envowelling,envoweling
Houdini,Houdiniing,Houdini-ing
gravel,gravelling,graveling
war-dial,war-dialing,war-dialling
vial,vialing,vialling
backchannel,backchanneling,backchannelling
defocus,defocusing,defocussing
disembowel,disemboweling,disembowelling
eye,eyeing,eying
ollie,ollying,ollieing
scunge,scunging,scungeing
circus,circusing,circussing
unmarshal,unmarshalling,unmarshaling
emperil,emperiling,emperilling
omnibus,omnibusing,omnibussing
handsel,handselling,handseling
attal,attalling,attaling
predial,predialling,predialing
untar,untaring,untarring
symbol,symboling,symbolling
dishevel,disheveling,dishevelling
autodial,autodialing,autodialling
disemvowel,disemvowelling,disemvoweling
mural,muralling,muraling
credential,credentialing,credentialling
